[2024-08-05 00:12:45] 	POST /api/auth/signin - [body: {"username":"0372976121","password":"123456"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:26:10] 	POST /api/admin/auth/signin - [body: {"username":"0123456789","password":"123456"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:30:04] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.702373","latitude":"10.7636653"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:30:17] 	POST /api/order/online - [body: {"menu":[{"_id":3,"quantity":2}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"qưeqwe","phone_number":"qưeqwe","province":"Thành phố Hồ Chí Minh","district":"Quận 4","ward":"Phường 09","latitude":"10.7636653","longitude":"106.702373","address":"adasdsa"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:30:17] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afbaa9c4dab44e7c52c6fe","amount":65500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:31:04] 	POST /api/admin/order/online/update-status - [body: {"orderId":"66af4cc2e3833b7fedf44c79","status":3}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:50:42] 	POST /api/order/506d9ecb-4467-49ff-84ab-48eff5ee1c14 - [body: [{"_id":3,"quantity":3}]] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 00:56:53] 	POST /api/order/506d9ecb-4467-49ff-84ab-48eff5ee1c14 - [body: [{"_id":5,"quantity":2}]] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:44:33] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6714096","latitude":"10.7559499"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:44:37] 	POST /api/order/online - [body: {"menu":[{"_id":3,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"àdsfsdf","phone_number":"afsdfds","province":"Thành phố Hồ Chí Minh","district":"Quận 5","ward":"Phường 08","latitude":"10.7559499","longitude":"106.6714096","address":"qưeqwewq"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:44:38] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afcc16c4dab44e7c52ca47","amount":44000}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
