user,item,gender,birthday,item_name,item_price,label,category_id,category_name,time
0581702741,31,Male,1978-12-15,Dừa tươi,35000,4,9,Nước trái cây,2023-06-14 22:54:26
0250860901,3,Female,2000-07-14,Đậu hũ chiên giòn,30000,3,1,Khai vị,2024-04-13 04:26:03
0164718485,40,Male,1998-07-28,Trà vải cam sả,40000,1,12,Trà,2024-04-03 07:08:50
0155591228,3,Female,2003-11-17,Đậu hũ chiên giòn,30000,2,1,Khai vị,2023-01-29 00:29:19
0438370458,12,Male,1977-07-26,Nấm xào chay,70000,5,3,Món xào,2024-05-06 07:28:24
0578285658,8,Female,1981-01-06,Bánh ướt,50000,1,2,Món ngũ cốc,2023-03-31 22:20:23
0896049281,30,Female,2003-09-21,Cam cà rốt,40000,2,9,Nước trái cây,2023-05-06 18:10:37
0299428599,3,Female,2014-03-08,Đậu hũ chiên giòn,30000,4,1,Khai vị,2024-01-03 15:55:04
0748857472,14,Female,2002-10-21,Đậu hũ kho nấm rơm,45000,1,4,Món kho,2023-09-03 19:08:06
0258483422,7,Male,1970-11-05,Bún chả giò,65000,3,2,Món ngũ cốc,2023-01-03 22:44:17
0288164159,40,Female,1974-08-30,Trà vải cam sả,40000,3,12,Trà,2023-11-18 16:09:53
0522141779,27,Male,1972-04-08,Cơm thêm,10000,1,8,Món thêm,2023-09-16 04:04:42
0748857472,14,Female,2005-11-14,Đậu hũ kho nấm rơm,45000,1,4,Món kho,2023-05-07 00:08:18
0937724423,40,Female,1986-06-20,Trà vải cam sả,40000,2,12,Trà,2024-03-28 08:52:03
0756060349,37,Female,1970-09-10,Sữa đậu nành,35000,1,11,Sữa,2023-03-08 12:20:10
0809853133,1,Female,2006-08-26,Gỏi cuốn sốt đậu phộng,90000,3,1,Khai vị,2023-01-21 21:29:30
0726539476,10,Female,2012-02-05,Ngó sen xào nấm,55000,5,3,Món xào,2024-04-16 12:14:02
0733524171,2,Female,2008-10-21,Chả giò,80000,4,1,Khai vị,2023-07-21 16:45:01
0291506024,36,Male,2003-11-08,Sữa chua trái cây,35000,2,11,Sữa,2023-03-22 19:21:26
0315397843,37,Female,1976-12-19,Sữa đậu nành,35000,4,11,Sữa,2023-03-06 01:02:57
0450495295,33,Female,1981-11-24,Coca,15000,5,10,Nước ngọt,2024-04-04 23:48:30
0891456670,34,Male,2004-05-19,7up,15000,4,10,Nước ngọt,2023-02-11 22:52:11
0181804571,27,Female,1979-08-27,Cơm thêm,10000,4,8,Món thêm,2023-06-02 03:06:14
0716892682,16,Male,1977-01-08,Chả lụa kho tiêu,92000,2,4,Món kho,2023-06-18 22:27:56
0108794091,26,Male,1970-04-04,Xà lách trộn,45000,2,7,Món trộn,2023-12-18 17:54:52
0819852682,35,Male,2011-05-24,Sting,15000,1,10,Nước ngọt,2023-04-05 10:32:10
0604426601,4,Male,2008-12-21,Bông cải xào tỏi,70000,3,1,Khai vị,2023-11-09 16:47:34
0726539476,8,Male,1995-06-30,Bánh ướt,50000,1,2,Món ngũ cốc,2024-06-23 00:29:27
0784122396,23,Female,1989-08-23,Lẩu nhiệt đới,180000,4,6,Lẩu,2024-02-20 01:15:38
0250860901,28,Male,1994-05-14,Bún thêm,10000,3,8,Món thêm,2023-07-14 13:22:06
0656214837,10,Female,1985-01-02,Ngó sen xào nấm,55000,2,3,Món xào,2023-07-09 06:00:23
0624053847,30,Male,1988-07-13,Cam cà rốt,40000,1,9,Nước trái cây,2024-06-28 13:28:28
0820967344,10,Male,2007-12-08,Ngó sen xào nấm,55000,5,3,Món xào,2023-03-14 14:35:07
0336371244,7,Female,1989-04-15,Bún chả giò,65000,1,2,Món ngũ cốc,2024-07-02 14:38:52
0748857472,6,Male,2013-02-28,Cơm chiên thượng hải,75000,5,2,Món ngũ cốc,2024-03-01 16:07:38
0624053847,30,Male,1971-10-23,Cam cà rốt,40000,2,9,Nước trái cây,2023-09-29 13:57:59
0732630255,38,Female,1970-06-07,Trà trái cây nhiệt đới,43000,4,12,Trà,2023-12-16 06:15:38
0863815256,7,Male,1990-02-27,Bún chả giò,65000,4,2,Món ngũ cốc,2024-05-28 04:30:05
0757688410,10,Male,2011-04-24,Ngó sen xào nấm,55000,3,3,Món xào,2023-09-25 07:14:08
0937724423,32,Female,1989-11-01,Nha đam hạt chia,45000,5,9,Nước trái cây,2024-07-04 15:20:48
0332012203,27,Male,1980-08-12,Cơm thêm,10000,4,8,Món thêm,2024-02-11 20:39:09
0748857472,24,Female,2003-07-16,Gỏi xoài khô mặn,57000,1,7,Món trộn,2023-11-26 12:02:34
0438327238,3,Male,1980-03-15,Đậu hũ chiên giòn,30000,3,1,Khai vị,2023-08-10 09:19:01
0356020596,34,Male,1982-04-15,7up,15000,4,10,Nước ngọt,2023-10-04 17:15:59
